"","fips","County","state","maxRucc"
"1",1055,"Etowah","Alabama",3
"2",1073,"Jefferson","Alabama",2
"3",1089,"Madison","Alabama",3
"4",1097,"Mobile","Alabama",3
"5",1101,"Montgomery","Alabama",3
"6",1113,"Russell","Alabama",3
"7",1125,"Tuscaloosa","Alabama",3
"8",4013,"Maricopa","Arizona",2
"9",4019,"Pima","Arizona",2
"10",5033,"Crawford","Arkansas",3
"11",5035,"Crittenden","Arkansas",2
"12",5069,"Jefferson","Arkansas",3
"13",5091,"Miller","Arkansas",3
"14",5119,"Pulaski","Arkansas",3
"15",5131,"Sebastian","Arkansas",3
"16",6001,"Alameda","California",1
"17",6013,"Contra Costa","California",1
"18",6019,"Fresno","California",2
"19",6029,"Kern","California",2
"20",6037,"Los Angeles","California",1
"21",6041,"Marin","California",1
"22",6059,"Orange","California",1
"23",6065,"Riverside","California",2
"24",6067,"Sacramento","California",2
"25",6071,"San Bernardino","California",2
"26",6073,"San Diego","California",1
"27",6075,"San Francisco","California",1
"28",6077,"San Joaquin","California",3
"29",6081,"San Mateo","California",1
"30",6083,"Santa Barbara","California",3
"31",6085,"Santa Clara","California",2
"32",6095,"Solano","California",1
"33",8001,"Adams","Colorado",2
"34",8005,"Arapahoe","Colorado",2
"35",8013,"Boulder","Colorado",2
"36",8031,"Denver","Colorado",2
"37",8041,"El Paso","Colorado",3
"38",8059,"Jefferson","Colorado",2
"39",8101,"Pueblo","Colorado",3
"40",9001,"Fairfield","Connecticut",1
"41",9003,"Hartford","Connecticut",2
"42",9009,"New Haven","Connecticut",2
"43",9011,"New London","Connecticut",3
"44",10003,"New Castle","Delaware",3
"45",12011,"Broward","Florida",3
"46",12031,"Duval","Florida",3
"47",12033,"Escambia","Florida",3
"48",12057,"Hillsborough","Florida",2
"49",12086,"Dade","Florida",2
"50",12095,"Orange","Florida",3
"51",12099,"Palm Beach","Florida",3
"52",12103,"Pinellas","Florida",2
"53",12113,"Santa Rosa","Florida",3
"54",12117,"Seminole","Florida",3
"55",13021,"Bibb","Georgia",3
"56",13051,"Chatham","Georgia",3
"57",13053,"Chattahoochee","Georgia",3
"58",13063,"Clayton","Georgia",1
"59",13067,"Cobb","Georgia",1
"60",13089,"DeKalb","Georgia",1
"61",13095,"Dougherty","Georgia",3
"62",13121,"Campbell","Georgia",2
"63",13135,"Gwinnett","Georgia",1
"64",13153,"Houston","Georgia",3
"65",13215,"Muscogee","Georgia",3
"66",13245,"Richmond","Georgia",3
"67",13295,"Walker","Georgia",3
"68",16001,"Ada","Idaho",3
"69",17019,"Champaign","Illinois",3
"70",17031,"Cook","Illinois",1
