"","fips","Slope","Ceiling","Mid","County.x","State","VAM","year"
"12",1009,0.202040338709043,0.904996254060377,1956.46344775078,"BLOUNT","AL",15,1929
"13",1009,0.202040338709043,0.904996254060377,1956.46344775078,"BLOUNT","AL",140,1958
"14",1009,0.202040338709043,0.904996254060377,1956.46344775078,"BLOUNT","AL",38,1947
"21",1015,0.173744213830888,0.918700456655504,1953.66456641399,"CALHOUN/BENTON","AL",216,1929
"22",1015,0.173744213830888,0.918700456655504,1953.66456641399,"CALHOUN/BENTON","AL",751,1958
"23",1015,0.173744213830888,0.918700456655504,1953.66456641399,"CALHOUN/BENTON","AL",797,1954
"24",1015,0.173744213830888,0.918700456655504,1953.66456641399,"CALHOUN/BENTON","AL",858,1963
"25",1015,0.173744213830888,0.918700456655504,1953.66456641399,"CALHOUN/BENTON","AL",461,1947
"26",1019,0.180496718292562,0.884526147491024,1949.88481400582,"CHEROKEE","AL",2,1929
"27",1019,0.180496718292562,0.884526147491024,1949.88481400582,"CHEROKEE","AL",146,1963
"28",1019,0.180496718292562,0.884526147491024,1949.88481400582,"CHEROKEE","AL",33,1947
"29",1019,0.180496718292562,0.884526147491024,1949.88481400582,"CHEROKEE","AL",86,1958
"41",1033,0.144883478527577,0.980677591085278,1955.34404694403,"COLBERT","AL",55,1929
"42",1033,0.144883478527577,0.980677591085278,1955.34404694403,"COLBERT","AL",742,1947
"56",1043,0.226568617733349,0.803722344901327,1954.98982559818,"CULLMAN","AL",62,1947
"57",1043,0.226568617733349,0.803722344901327,1954.98982559818,"CULLMAN","AL",350,1963
"58",1043,0.226568617733349,0.803722344901327,1954.98982559818,"CULLMAN","AL",109,1958
"59",1043,0.226568617733349,0.803722344901327,1954.98982559818,"CULLMAN","AL",14,1929
"60",1043,0.226568617733349,0.803722344901327,1954.98982559818,"CULLMAN","AL",76,1954
"61",1045,0.173842709514851,0.941919371861201,1956.0084326219,"DALE","AL",289,1958
"62",1045,0.173842709514851,0.941919371861201,1956.0084326219,"DALE","AL",128,1954
"63",1045,0.173842709514851,0.941919371861201,1956.0084326219,"DALE","AL",95,1947
"64",1045,0.173842709514851,0.941919371861201,1956.0084326219,"DALE","AL",37,1929
"65",1045,0.173842709514851,0.941919371861201,1956.0084326219,"DALE","AL",542,1963
"66",1049,0.186231910607114,0.894961794623987,1956.81607220679,"DE KALB","AL",60,1947
"68",1049,0.186231910607114,0.894961794623987,1956.81607220679,"DE KALB","AL",188,1958
"69",1049,0.186231910607114,0.894961794623987,1956.81607220679,"DE KALB","AL",352,1963
"70",1049,0.186231910607114,0.894961794623987,1956.81607220679,"DE KALB","AL",140,1954
"76",1053,0.162412273650524,0.973614848002169,1957.20168196256,"ESCAMBIA","AL",77,1929
"77",1053,0.162412273650524,0.973614848002169,1957.20168196256,"ESCAMBIA","AL",377,1958
"78",1053,0.162412273650524,0.973614848002169,1957.20168196256,"ESCAMBIA","AL",298,1954
"79",1053,0.162412273650524,0.973614848002169,1957.20168196256,"ESCAMBIA","AL",644,1963
"80",1053,0.162412273650524,0.973614848002169,1957.20168196256,"ESCAMBIA","AL",181,1947
"91",1061,0.244844997066194,0.856638640070359,1953.28765537525,"GENEVA","AL",306,1958
"92",1061,0.244844997066194,0.856638640070359,1953.28765537525,"GENEVA","AL",22,1929
"93",1061,0.244844997066194,0.856638640070359,1953.28765537525,"GENEVA","AL",180,1947
"94",1061,0.244844997066194,0.856638640070359,1953.28765537525,"GENEVA","AL",244,1954
"95",1061,0.244844997066194,0.856638640070359,1953.28765537525,"GENEVA","AL",489,1963
"101",1069,0.194166803809568,0.896029299120136,1954.56742444904,"HOUSTON","AL",251,1954
"102",1069,0.194166803809568,0.896029299120136,1954.56742444904,"HOUSTON","AL",374,1958
"103",1069,0.194166803809568,0.896029299120136,1954.56742444904,"HOUSTON","AL",28,1929
"104",1069,0.194166803809568,0.896029299120136,1954.56742444904,"HOUSTON","AL",140,1947
"105",1069,0.194166803809568,0.896029299120136,1954.56742444904,"HOUSTON","AL",476,1963
"106",1071,0.133721213899283,0.990324374485838,1957.3080597574,"JACKSON","AL",405,1963
"107",1071,0.133721213899283,0.990324374485838,1957.3080597574,"JACKSON","AL",110,1954
"108",1071,0.133721213899283,0.990324374485838,1957.3080597574,"JACKSON","AL",27,1929
"109",1071,0.133721213899283,0.990324374485838,1957.3080597574,"JACKSON","AL",72,1947
"110",1071,0.133721213899283,0.990324374485838,1957.3080597574,"JACKSON","AL",191,1958
"141",1095,0.179735298324596,0.891893633169343,1955.98202357352,"MARSHALL","AL",274,1958
"142",1095,0.179735298324596,0.891893633169343,1955.98202357352,"MARSHALL","AL",11,1929
"143",1095,0.179735298324596,0.891893633169343,1955.98202357352,"MARSHALL","AL",477,1963
"144",1095,0.179735298324596,0.891893633169343,1955.98202357352,"MARSHALL","AL",140,1954
"145",1095,0.179735298324596,0.891893633169343,1955.98202357352,"MARSHALL","AL",108,1947
"147",1103,0.139632922980123,0.958939044551296,1955.33589893684,"MORGAN/COTACO","AL",109,1929
"148",1103,0.139632922980123,0.958939044551296,1955.33589893684,"MORGAN/COTACO","AL",588,1954
"149",1103,0.139632922980123,0.958939044551296,1955.33589893684,"MORGAN/COTACO","AL",285,1947
"150",1103,0.139632922980123,0.958939044551296,1955.33589893684,"MORGAN/COTACO","AL",915,1958
"161",1117,0.25939847250906,0.789103110779715,1952.8823649306,"SHELBY","AL",38,1929
"162",1117,0.25939847250906,0.789103110779715,1952.8823649306,"SHELBY","AL",696,1963
"163",1117,0.25939847250906,0.789103110779715,1952.8823649306,"SHELBY","AL",199,1954
"164",1117,0.25939847250906,0.789103110779715,1952.8823649306,"SHELBY","AL",192,1947
"165",1117,0.25939847250906,0.789103110779715,1952.8823649306,"SHELBY","AL",355,1958
"185",4001,0.457664908945731,0.597432767467201,1946.5152116798,"APACHE","AZ",215.26,1963
"187",4003,0.260557254389427,0.701017515692155,1946.23593836056,"COCHISE","AZ",216.53,1954
"190",4003,0.260557254389427,0.701017515692155,1946.23593836056,"COCHISE","AZ",125.47,1929
"191",4009,0.125392592058141,0.813669347637529,1944.6744758136,"GRAHAM","AZ",44.05,1954
"192",4009,0.125392592058141,0.813669347637529,1944.6744758136,"GRAHAM","AZ",9.63,1947
"193",4009,0.125392592058141,0.813669347637529,1944.6744758136,"GRAHAM","AZ",112,1963
"194",4009,0.125392592058141,0.813669347637529,1944.6744758136,"GRAHAM","AZ",68.21,1958
"195",4009,0.125392592058141,0.813669347637529,1944.6744758136,"GRAHAM","AZ",8.48,1929
"206",4025,0.170803499678866,0.609146693207648,1944.1053292258,"YAVAPAI","AZ",104.01,1958
"207",4025,0.170803499678866,0.609146693207648,1944.1053292258,"YAVAPAI","AZ",104.76,1929
