"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"684397","1940",2,27114571,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684408","1940",2,27114585,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"684415","1940",2,27114594,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684416","1940",2,27114600,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",14,"2nd year of college"
"684425","1940",2,27114613,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684431","1940",2,27114621,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684438","1940",2,27114631,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684439","1940",2,27114633,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684440","1940",2,27114633,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684443","1940",2,27114634,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"684457","1940",2,27114656,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684462","1940",2,27114658,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684472","1940",2,27114694,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"684473","1940",2,27114695,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684479","1940",2,27114702,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","West Virginia","West Virginia","No, not in school",10,"10th grade"
"684480","1940",2,27114702,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684485","1940",2,27114710,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"684486","1940",2,27114710,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684488","1940",2,27114711,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684496","1940",2,27114715,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684502","1940",2,27114724,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684503","1940",2,27114725,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
